date,sku_id,on_hand_units,on_order_units,lead_time_days,reorder_point
2024-01-01,SKU0001,277,0,19.0,53
2024-01-08,SKU0001,271,0,19.0,53
2024-01-15,SKU0001,248,0,19.0,53
2024-01-22,SKU0001,231,85,19.0,53
2024-01-29,SKU0001,209,63,19.0,53
2024-02-05,SKU0001,202,0,19.0,53
2024-02-12,SKU0001,195,0,19.0,53
2024-02-19,SKU0001,171,0,19.0,53
2024-02-26,SKU0001,161,0,19.0,53
2024-03-04,SKU0001,161,0,19.0,53
2024-03-11,SKU0001,146,0,19.0,53
2024-03-18,SKU0001,139,0,19.0,53
2024-03-25,SKU0001,125,0,19.0,53
2024-04-01,SKU0001,112,7,19.0,53
2024-04-08,SKU0001,103,0,19.0,53
2024-04-15,SKU0001,95,0,19.0,53
2024-04-22,SKU0001,84,0,19.0,53
2024-04-29,SKU0001,78,0,19.0,53
2024-05-06,SKU0001,57,0,19.0,53
2024-05-13,SKU0001,139,0,19.0,53
2024-05-20,SKU0001,119,0,19.0,53
2024-05-27,SKU0001,117,0,19.0,53
2024-06-03,SKU0001,114,0,19.0,53
2024-06-10,SKU0001,102,0,19.0,53
2024-06-17,SKU0001,86,0,19.0,53
2024-06-24,SKU0001,66,0,19.0,53
2024-07-01,SKU0001,53,32,19.0,53
2024-07-08,SKU0001,218,0,19.0,53
2024-07-15,SKU0001,208,98,19.0,53
2024-07-22,SKU0001,205,0,19.0,53
2024-07-29,SKU0001,193,0,19.0,53
2024-08-05,SKU0001,181,0,19.0,53
2024-08-12,SKU0001,171,0,19.0,53
2024-08-19,SKU0001,157,0,19.0,53
2024-08-26,SKU0001,149,0,19.0,53
2024-09-02,SKU0001,134,0,19.0,53
2024-09-09,SKU0001,123,0,19.0,53
2024-09-16,SKU0001,112,0,19.0,53
2024-09-23,SKU0001,107,0,19.0,53
2024-09-30,SKU0001,87,52,19.0,53
2024-10-07,SKU0001,74,0,19.0,53
2024-10-14,SKU0001,59,0,19.0,53
2024-10-21,SKU0001,43,0,19.0,53
2024-10-28,SKU0001,28,0,19.0,53
2024-11-04,SKU0001,15,1,19.0,53
2024-11-11,SKU0001,15,102,19.0,53
2024-11-18,SKU0001,110,70,19.0,53
2024-11-25,SKU0001,95,0,19.0,53
2024-12-02,SKU0001,93,0,19.0,53
2024-12-09,SKU0001,86,0,19.0,53
2024-12-16,SKU0001,75,0,19.0,53
2024-12-23,SKU0001,62,0,19.0,53
2024-12-30,SKU0001,153,0,19.0,53
2025-01-06,SKU0001,145,0,19.0,53
2025-01-13,SKU0001,141,0,19.0,53
2025-01-20,SKU0001,122,0,19.0,53
2025-01-27,SKU0001,108,0,19.0,53
2025-02-03,SKU0001,89,0,19.0,53
2025-02-10,SKU0001,71,0,19.0,53
2025-02-17,SKU0001,70,0,19.0,53
2025-02-24,SKU0001,65,0,19.0,53
2025-03-03,SKU0001,60,73,19.0,53
2025-03-10,SKU0001,175,0,19.0,53
2025-03-17,SKU0001,161,0,19.0,53
2025-03-24,SKU0001,159,0,19.0,53
2025-03-31,SKU0001,154,0,19.0,53
2025-04-07,SKU0001,136,107,19.0,53
2025-04-14,SKU0001,131,0,19.0,53
2025-04-21,SKU0001,129,0,19.0,53
2025-04-28,SKU0001,118,92,19.0,53
2025-05-05,SKU0001,114,0,19.0,53
2025-05-12,SKU0001,106,7,19.0,53
2025-05-19,SKU0001,96,0,19.0,53
2025-05-26,SKU0001,81,0,19.0,53
2025-06-02,SKU0001,66,0,19.0,53
2025-06-09,SKU0001,64,0,19.0,53
2025-06-16,SKU0001,47,33,19.0,53
2025-06-23,SKU0001,23,76,19.0,53
2025-06-30,SKU0001,123,0,19.0,53
2025-07-07,SKU0001,114,64,19.0,53
2025-07-14,SKU0001,103,0,19.0,53
2025-07-21,SKU0001,97,0,19.0,53
2025-07-28,SKU0001,79,29,19.0,53
2025-08-04,SKU0001,69,0,19.0,53
2025-08-11,SKU0001,46,0,19.0,53
2025-08-18,SKU0001,40,0,19.0,53
2025-08-25,SKU0001,193,0,19.0,53
2025-09-01,SKU0001,189,31,19.0,53
2025-09-08,SKU0001,180,110,19.0,53
2025-09-15,SKU0001,168,0,19.0,53
2025-09-22,SKU0001,160,24,19.0,53
2025-09-29,SKU0001,141,66,19.0,53
2024-01-01,SKU0002,163,109,9.0,26
2024-01-08,SKU0002,157,0,9.0,26
2024-01-15,SKU0002,144,67,9.0,26
2024-01-22,SKU0002,134,13,9.0,26
2024-01-29,SKU0002,119,0,9.0,26
2024-02-05,SKU0002,99,0,9.0,26
2024-02-12,SKU0002,94,0,9.0,26
2024-02-19,SKU0002,73,0,9.0,26
2024-02-26,SKU0002,61,12,9.0,26
2024-03-04,SKU0002,49,103,9.0,26
2024-03-11,SKU0002,27,0,9.0,26
2024-03-18,SKU0002,4,82,9.0,26
2024-03-25,SKU0002,0,78,9.0,26
2024-04-01,SKU0002,84,0,9.0,26
2024-04-08,SKU0002,62,0,9.0,26
2024-04-15,SKU0002,61,0,9.0,26
2024-04-22,SKU0002,52,45,9.0,26
2024-04-29,SKU0002,30,0,9.0,26
2024-05-06,SKU0002,11,0,9.0,26
2024-05-13,SKU0002,0,77,9.0,26
2024-05-20,SKU0002,0,0,9.0,26
2024-05-27,SKU0002,0,99,9.0,26
2024-06-03,SKU0002,0,45,9.0,26
2024-06-10,SKU0002,116,0,9.0,26
2024-06-17,SKU0002,99,63,9.0,26
2024-06-24,SKU0002,97,113,9.0,26
2024-07-01,SKU0002,88,85,9.0,26
2024-07-08,SKU0002,66,0,9.0,26
2024-07-15,SKU0002,63,0,9.0,26
2024-07-22,SKU0002,42,0,9.0,26
2024-07-29,SKU0002,40,0,9.0,26
2024-08-05,SKU0002,28,0,9.0,26
2024-08-12,SKU0002,12,0,9.0,26
2024-08-19,SKU0002,135,0,9.0,26
2024-08-26,SKU0002,130,56,9.0,26
2024-09-02,SKU0002,120,0,9.0,26
2024-09-09,SKU0002,108,0,9.0,26
2024-09-16,SKU0002,93,0,9.0,26
2024-09-23,SKU0002,71,4,9.0,26
2024-09-30,SKU0002,69,84,9.0,26
2024-10-07,SKU0002,62,0,9.0,26
2024-10-14,SKU0002,39,0,9.0,26
2024-10-21,SKU0002,24,0,9.0,26
2024-10-28,SKU0002,20,57,9.0,26
2024-11-04,SKU0002,170,0,9.0,26
2024-11-11,SKU0002,168,0,9.0,26
2024-11-18,SKU0002,164,113,9.0,26
2024-11-25,SKU0002,150,0,9.0,26
2024-12-02,SKU0002,140,0,9.0,26
2024-12-09,SKU0002,131,0,9.0,26
2024-12-16,SKU0002,131,0,9.0,26
2024-12-23,SKU0002,108,0,9.0,26
2024-12-30,SKU0002,92,106,9.0,26
2025-01-06,SKU0002,91,0,9.0,26
2025-01-13,SKU0002,84,0,9.0,26
2025-01-20,SKU0002,70,0,9.0,26
2025-01-27,SKU0002,55,0,9.0,26
2025-02-03,SKU0002,32,116,9.0,26
2025-02-10,SKU0002,138,0,9.0,26
2025-02-17,SKU0002,134,0,9.0,26
2025-02-24,SKU0002,122,0,9.0,26
2025-03-03,SKU0002,112,112,9.0,26
2025-03-10,SKU0002,95,0,9.0,26
2025-03-17,SKU0002,76,0,9.0,26
2025-03-24,SKU0002,70,67,9.0,26
2025-03-31,SKU0002,66,0,9.0,26
2025-04-07,SKU0002,44,112,9.0,26
2025-04-14,SKU0002,44,0,9.0,26
2025-04-21,SKU0002,27,0,9.0,26
2025-04-28,SKU0002,27,0,9.0,26
2025-05-05,SKU0002,24,87,9.0,26
2025-05-12,SKU0002,188,0,9.0,26
2025-05-19,SKU0002,182,0,9.0,26
2025-05-26,SKU0002,180,0,9.0,26
2025-06-02,SKU0002,172,0,9.0,26
2025-06-09,SKU0002,160,0,9.0,26
2025-06-16,SKU0002,145,0,9.0,26
2025-06-23,SKU0002,128,0,9.0,26
2025-06-30,SKU0002,123,44,9.0,26
2025-07-07,SKU0002,110,49,9.0,26
2025-07-14,SKU0002,98,0,9.0,26
2025-07-21,SKU0002,82,0,9.0,26
2025-07-28,SKU0002,66,0,9.0,26
2025-08-04,SKU0002,63,32,9.0,26
2025-08-11,SKU0002,58,31,9.0,26
2025-08-18,SKU0002,47,0,9.0,26
2025-08-25,SKU0002,38,0,9.0,26
2025-09-01,SKU0002,38,0,9.0,26
2025-09-08,SKU0002,32,0,9.0,26
2025-09-15,SKU0002,24,0,9.0,26
2025-09-22,SKU0002,103,94,9.0,26
2025-09-29,SKU0002,94,0,9.0,26
2024-01-01,SKU0003,58,0,41.0,20
