sku_id,horizon_demand,on_hand_units,on_order_units,available_stock,stockout_risk,overstock_risk,recommended_action
SKU0001,1527.0750830683132,141,66,207,1,0,Reorder now
SKU0002,3131.191488045556,94,0,94,1,0,Reorder now
SKU0003,81.96124214974587,159,0,159,0,0,Healthy
SKU0004,15.379810974708024,121,0,121,0,1,Markdown / clear
SKU0005,38.9423283896613,116,0,116,0,1,Markdown / clear
SKU0006,1141.5344523377455,172,0,172,1,0,Reorder now
SKU0007,578.487738181141,128,0,128,1,0,Reorder now
SKU0008,1478.6649086294442,95,0,95,1,0,Reorder now
SKU0009,978.7032395908761,137,0,137,1,0,Reorder now
SKU0010,3156.3318111389153,131,33,164,1,0,Reorder now
SKU0011,2141.208554582882,234,41,275,1,0,Reorder now
SKU0012,70.66647250713848,26,0,26,1,0,Reorder now
SKU0013,190.59636114549798,183,0,183,1,0,Reorder now
SKU0014,727.0098029357788,78,22,100,1,0,Reorder now
SKU0015,987.8705860860732,85,51,136,1,0,Reorder now
SKU0016,1966.1846815942495,180,0,180,1,0,Reorder now
SKU0017,38.893494964649406,49,0,49,0,0,Healthy
SKU0018,16.210847976863423,50,0,50,0,1,Markdown / clear
SKU0019,81.27166013851286,171,0,171,0,1,Markdown / clear
SKU0020,282.3692331637457,0,0,0,1,0,Reorder now
SKU0021,424.4343379932569,174,0,174,1,0,Reorder now
SKU0022,1722.2500301399866,77,0,77,1,0,Reorder now
SKU0023,1284.9416894865756,135,0,135,1,0,Reorder now
SKU0024,42.4130671680836,180,47,227,0,1,Markdown / clear
SKU0025,53.158265626699325,144,31,175,0,1,Markdown / clear
SKU0026,3276.6629573079913,46,0,46,1,0,Reorder now
SKU0027,259.1865236988633,43,0,43,1,0,Reorder now
SKU0028,130.7304079551493,63,41,104,1,0,Reorder now
SKU0029,315.47167045882446,98,81,179,1,0,Reorder now
SKU0030,433.8354338525001,150,0,150,1,0,Reorder now
SKU0031,15.394976394816272,111,0,111,0,1,Markdown / clear
SKU0032,2999.338236845988,72,0,72,1,0,Reorder now
SKU0033,239.87591558452328,52,0,52,1,0,Reorder now
SKU0034,923.9935914130642,112,0,112,1,0,Reorder now
SKU0035,471.05563371085094,4,12,16,1,0,Reorder now
SKU0036,123.05401815549399,134,0,134,0,0,Healthy
SKU0037,162.72329407308007,176,0,176,0,0,Healthy
SKU0038,1614.7946532413603,62,22,84,1,0,Reorder now
SKU0039,46.37381899960909,108,0,108,0,1,Markdown / clear
SKU0040,3275.1623800118186,91,110,201,1,0,Reorder now
SKU0041,301.3119137837654,19,84,103,1,0,Reorder now
SKU0042,579.4400758018417,161,0,161,1,0,Reorder now
SKU0043,1620.6138478569205,79,0,79,1,0,Reorder now
SKU0044,15.391596139842923,0,0,0,1,0,Reorder now
SKU0045,280.4252262971896,250,0,250,1,0,Reorder now
SKU0046,1589.4018771371684,208,0,208,1,0,Reorder now
SKU0047,499.30235298846947,66,0,66,1,0,Reorder now
SKU0048,149.01064108855056,94,0,94,1,0,Reorder now
SKU0049,1956.6926481308403,105,0,105,1,0,Reorder now
SKU0050,315.40481824940883,121,0,121,1,0,Reorder now
SKU0051,15.364881197044108,41,110,151,0,1,Markdown / clear
SKU0052,522.8250968377286,52,0,52,1,0,Reorder now
SKU0053,69.1588259223564,53,81,134,0,0,Healthy
SKU0054,751.4199050118781,95,30,125,1,0,Reorder now
SKU0055,39.347393026028136,69,0,69,0,0,Healthy
SKU0056,1776.8329181949998,52,0,52,1,0,Reorder now
SKU0057,2526.07554262563,76,54,130,1,0,Reorder now
SKU0058,186.36597791930828,97,0,97,1,0,Reorder now
SKU0059,886.9327890562047,42,0,42,1,0,Reorder now
SKU0060,101.99766843986797,73,0,73,1,0,Reorder now
SKU0061,30.8571684906184,88,93,181,0,1,Markdown / clear
SKU0062,1168.2920820675972,99,0,99,1,0,Reorder now
SKU0063,747.3926824093782,0,0,0,1,0,Reorder now
SKU0064,289.546264844977,94,0,94,1,0,Reorder now
SKU0065,1433.6629628589037,69,97,166,1,0,Reorder now
SKU0066,3089.6650527534675,106,0,106,1,0,Reorder now
SKU0067,39.97926190021465,117,50,167,0,1,Markdown / clear
SKU0068,2291.6891942904435,133,0,133,1,0,Reorder now
SKU0069,1226.7884337594676,127,0,127,1,0,Reorder now
SKU0070,1286.9062670079377,58,99,157,1,0,Reorder now
SKU0071,352.03869709125144,165,0,165,1,0,Reorder now
SKU0072,2732.0437780728994,136,0,136,1,0,Reorder now
SKU0073,1161.639429646844,142,99,241,1,0,Reorder now
SKU0074,1631.7331167180578,132,0,132,1,0,Reorder now
SKU0075,660.3301331260136,120,0,120,1,0,Reorder now
SKU0076,227.42382908474707,65,30,95,1,0,Reorder now
SKU0077,2470.845850954853,196,0,196,1,0,Reorder now
SKU0078,1731.635232433474,101,0,101,1,0,Reorder now
SKU0079,41.58251308794787,47,0,47,0,0,Healthy
SKU0080,25.528751847655798,189,0,189,0,1,Markdown / clear
SKU0081,2126.997888413359,120,0,120,1,0,Reorder now
SKU0082,210.11765813635796,211,0,211,0,0,Healthy
SKU0083,81.82113925369254,56,35,91,0,0,Healthy
SKU0084,53.425520942959686,63,0,63,0,0,Healthy
SKU0085,1679.8117203334923,117,0,117,1,0,Reorder now
SKU0086,221.99280809173615,29,8,37,1,0,Reorder now
SKU0087,76.47910521703432,120,1,121,0,0,Healthy
SKU0088,2002.9587766220566,146,0,146,1,0,Reorder now
SKU0089,62.32618342529937,72,0,72,0,0,Healthy
SKU0090,3108.801816431187,199,69,268,1,0,Reorder now
SKU0091,108.4118660476127,68,0,68,1,0,Reorder now
SKU0092,2198.4450596406373,29,94,123,1,0,Reorder now
SKU0093,2923.262861121042,77,0,77,1,0,Reorder now
SKU0094,174.16528597288138,187,0,187,0,0,Healthy
SKU0095,1125.2155093848994,38,0,38,1,0,Reorder now
SKU0096,1997.2075777796595,71,0,71,1,0,Reorder now
SKU0097,86.70396665169741,130,87,217,0,0,Healthy
SKU0098,357.0311027703002,140,67,207,1,0,Reorder now
SKU0099,109.41042239951416,142,0,142,0,0,Healthy
SKU0100,14.570109072549862,64,0,64,0,1,Markdown / clear
SKU0101,1372.8892089656379,52,0,52,1,0,Reorder now
SKU0102,1484.5681860838283,84,0,84,1,0,Reorder now
SKU0103,139.67771863454257,164,105,269,0,0,Healthy
SKU0104,2223.884900779477,51,57,108,1,0,Reorder now
SKU0105,14.570109072549862,56,0,56,0,1,Markdown / clear
SKU0106,2121.4258623521296,191,0,191,1,0,Reorder now
SKU0107,272.8549381925509,131,4,135,1,0,Reorder now
SKU0108,15.379810974708024,105,0,105,0,1,Markdown / clear
SKU0109,1668.9240312525424,158,0,158,1,0,Reorder now
SKU0110,322.9784042569973,73,0,73,1,0,Reorder now
SKU0111,486.538090062659,95,0,95,1,0,Reorder now
SKU0112,45.942848508146874,63,0,63,0,0,Healthy
SKU0113,15.405769255738333,59,0,59,0,1,Markdown / clear
SKU0114,969.5477479167406,74,55,129,1,0,Reorder now
SKU0115,3314.657335867766,154,0,154,1,0,Reorder now
SKU0116,14.570109072549862,66,85,151,0,1,Markdown / clear
SKU0117,15.375674057966169,186,0,186,0,1,Markdown / clear
SKU0118,1663.5279945797781,132,0,132,1,0,Reorder now
SKU0119,2498.6789122165396,11,107,118,1,0,Reorder now
SKU0120,657.379574386275,63,0,63,1,0,Reorder now
SKU0121,81.47635996721158,60,0,60,1,0,Reorder now
SKU0122,154.303583213378,73,0,73,1,0,Reorder now
SKU0123,2834.769735707043,178,0,178,1,0,Reorder now
SKU0124,3321.1499838259933,92,0,92,1,0,Reorder now
SKU0125,167.39769130713154,94,0,94,1,0,Reorder now
SKU0126,275.65490198330116,150,0,150,1,0,Reorder now
SKU0127,125.07395898962531,64,0,64,1,0,Reorder now
SKU0128,594.8710896083362,117,0,117,1,0,Reorder now
SKU0129,217.45845934816234,47,86,133,1,0,Reorder now
SKU0130,25.522582167766807,194,0,194,0,1,Markdown / clear
SKU0131,109.38266684317139,83,0,83,1,0,Reorder now
SKU0132,552.7651968369074,66,35,101,1,0,Reorder now
SKU0133,16.718497486670067,0,0,0,1,0,Reorder now
SKU0134,125.3477257211884,77,0,77,1,0,Reorder now
SKU0135,15.40169451065797,95,0,95,0,1,Markdown / clear
SKU0136,1158.645699353365,161,105,266,1,0,Reorder now
SKU0137,1062.1830213378682,158,0,158,1,0,Reorder now
SKU0138,1674.57396630517,54,0,54,1,0,Reorder now
SKU0139,87.6487568324837,72,32,104,0,0,Healthy
