date,sku_id,units_sold,revenue,unit_price,promo_flag
2024-01-01,SKU0001,13,55221.01,4247.77,0
2024-01-02,SKU0001,20,84367.4,4218.37,0
2024-01-03,SKU0001,21,90050.94,4288.14,0
2024-01-04,SKU0001,16,67191.04,4199.44,0
2024-01-05,SKU0001,24,102132.96,4255.54,0
2024-01-06,SKU0001,18,76556.34,4253.13,0
2024-01-07,SKU0001,19,80074.93,4214.47,0
2024-01-08,SKU0001,17,71621.51,4213.03,0
2024-01-09,SKU0001,15,62584.8,4172.32,0
2024-01-10,SKU0001,17,72178.77,4245.81,0
2024-01-11,SKU0001,20,84929.0,4246.45,0
2024-01-12,SKU0001,10,41783.6,4178.36,0
2024-01-13,SKU0001,16,68442.4,4277.65,0
2024-01-14,SKU0001,30,108465.6,3615.52,1
2024-01-15,SKU0001,25,80215.75,3208.63,1
2024-01-16,SKU0001,32,96556.16,3017.38,1
2024-01-17,SKU0001,33,108505.98,3288.06,1
2024-01-18,SKU0001,13,54906.02,4223.54,0
2024-01-19,SKU0001,17,71262.98,4191.94,0
2024-01-20,SKU0001,22,93690.08,4258.64,0
2024-01-21,SKU0001,18,75445.74,4191.43,0
2024-01-22,SKU0001,17,71292.73,4193.69,0
2024-01-23,SKU0001,16,67018.88,4188.68,0
2024-01-24,SKU0001,11,46241.47,4203.77,0
2024-01-25,SKU0001,10,42890.1,4289.01,0
2024-01-26,SKU0001,11,46364.12,4214.92,0
2024-01-27,SKU0001,13,54539.42,4195.34,0
2024-01-28,SKU0001,24,100197.84,4174.91,0
2024-01-29,SKU0001,19,80085.19,4215.01,0
2024-01-30,SKU0001,16,67980.96,4248.81,0
2024-01-31,SKU0001,9,38575.71,4286.19,0
2024-02-01,SKU0001,13,54797.21,4215.17,0
2024-02-02,SKU0001,13,55478.67,4267.59,0
2024-02-03,SKU0001,23,96643.47,4201.89,0
2024-02-04,SKU0001,21,88698.33,4223.73,0
2024-02-05,SKU0001,21,89746.23,4273.63,0
2024-02-06,SKU0001,9,38062.89,4229.21,0
2024-02-07,SKU0001,7,29124.06,4160.58,0
2024-02-08,SKU0001,14,58310.0,4165.0,0
2024-02-09,SKU0001,16,66914.08,4182.13,0
2024-02-10,SKU0001,13,55463.59,4266.43,0
2024-02-11,SKU0001,18,75104.1,4172.45,0
2024-02-12,SKU0001,13,54517.32,4193.64,0
2024-02-13,SKU0001,18,76627.08,4257.06,0
2024-02-14,SKU0001,14,58642.08,4188.72,0
2024-02-15,SKU0001,11,45934.02,4175.82,0
2024-02-16,SKU0001,8,33464.64,4183.08,0
2024-02-17,SKU0001,22,94334.9,4287.95,0
2024-02-18,SKU0001,12,50619.0,4218.25,0
