sku_id,category,subcategory,launch_date,unit_cost,list_price
SKU0001,Lighting,Floor Lamps,2023-07-10,2834.87,4289.19
SKU0002,Textiles,Rugs,2023-03-03,643.24,1248.18
SKU0003,Decor,Wall Art,2022-12-27,3317.63,6409.98
SKU0004,Decor,Wall Art,2024-11-30,3336.38,7199.9
SKU0005,Lighting,String Lights,2023-08-13,3588.52,8375.82
SKU0006,Furniture,Tables,2024-10-13,744.01,1651.45
SKU0007,Lighting,Floor Lamps,2022-12-10,1576.27,3094.95
SKU0008,Furniture,Tables,2023-11-11,1023.6,2255.79
SKU0009,Decor,Wall Art,2023-02-02,1352.61,3244.52
SKU0010,Textiles,Curtains,2023-07-31,2777.61,4354.47
SKU0011,Furniture,Shelving,2023-12-30,2709.68,6086.48
SKU0012,Lighting,Floor Lamps,2023-07-02,688.22,1058.09
SKU0013,Lighting ,Floor Lamps,2023-06-27,3095.25,6690.88
SKU0014,Small Appliances,Kettles,2023-05-23,268.65,516.9
SKU0015,Furniture,Tables,2023-07-22,1050.67,1544.45
SKU0016,Decor,Mirrors,2023-09-06,2294.57,5370.85
SKU0017,Lighting,Floor Lamps,2023-07-23,792.85,1131.6
SKU0018,Furniture,Shelving,2023-03-19,770.9,1542.77
SKU0019,Furniture,Tables,2023-03-29,1616.93,2848.73
SKU0020,Lighting,Floor Lamps,2024-08-16,604.32,1543.6
SKU0021,Textiles,Throws,2023-03-28,3881.33,9060.97
SKU0022,Lighting,String Lights,2023-07-06,521.11,1293.98
SKU0023,Decor,Candles,2023-10-13,2380.0,3836.86
SKU0024,Textiles,Cushions,2023-03-04,1813.56,3904.18
SKU0025,Small Appliances,Kettles,2025-01-21,1750.86,2538.64
SKU0026,Small Appliances,Kettles,2023-08-23,548.1,1153.85
SKU0027,Furniture,Tables,2022-12-27,1485.45,3132.96
SKU0028,Furniture,Chairs,2022-12-14,3163.53,4743.0
SKU0029,Small Appliances,Fans,2023-06-19,2351.15,4627.5
SKU0030,Decor,Mirrors,2023-08-22,1839.81,2623.45
SKU0031,Textiles,Cushions,2023-01-08,,3493.72
